time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_equalize_cost,air_post_process_cost,air_deferred_airs_cost,air_hotspot_count,air_network_count,air_delta_count,air_deferred_airs_count,air_high_pressure_turfs,air_low_pressure_turfs,air_gasmix_count,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
133.5,2,0,0,0,0,0.428497,5,0,0,0,0,0,0,0,0,0,,0,28,0,0,0,0,0.0091373,101,0.0032352,101,0.0057851,101,0.0001107,101,0.0024382,84,6.15e-005,84,0.0002256,10,5.4e-005,11,0.0020692,84,0.0001077,84,4.19e-005,35,0.0008443,2,0.0001007,4,5.27e-005,82,0.0004289,84,8.09e-005,84,0.0003232,84,4.5e-005,84,6.8e-006,84,5.83e-005,84,0.0001764,84,0.0001579,35,996,84
233,2,2.51256,0.753769,0.150754,0.0150754,0.466191,1,0.670089,0,0.522311,0.00526982,0,0.558164,0,0.220676,0.0045036,0.0040505,0,30,120,0,105,47,0.0525964,300,0.0050461,300,0.047187,300,0.0003416,300,0.0148496,481,0.0001618,481,0.0009271,42,0.0002704,61,0.0134021,481,0.0009917,481,0.0005321,432,0.0012263,4,0.0001543,8,0.0001983,477,0.0052429,481,0.000311,481,0.0042472,481,0.0001587,481,4.56e-005,481,0.0006752,481,0.0022777,481,0.0020401,432,12509,481
333,2,1,0.827638,0.286131,0.0421809,0.350206,1,0.599733,0,1.29028,0.00517989,0,0.607682,0,0.00254423,5.1923e-005,0.0064557,0,30,120,0,98,40,0.0935359,500,0.0052884,500,0.0876388,500,0.0005697,500,0.0264284,881,0.0002665,881,0.0013831,68,0.0004787,111,0.0241484,881,0.001838,881,0.0010092,832,0.0012263,4,0.0001543,8,0.0003488,877,0.0101003,881,0.0005189,881,0.0080892,881,0.0002753,881,8.6e-005,881,0.0012582,881,0.004535,881,0.00385,832,24205,881
433,2,0,0.579347,0.344774,0.0724402,0.397929,1,0.701633,0,1.28756,0.00602393,0,0.650826,0,2.93329e-005,5.98632e-007,0.00514976,0,30,120,0,95,37,0.137443,700,0.0055795,700,0.130996,700,0.0008102,700,0.0393552,1281,0.0003779,1281,0.0017293,95,0.0007408,161,0.0362882,1281,0.0027489,1281,0.0015001,1232,0.0012263,4,0.0001543,8,0.0005103,1277,0.0157675,1281,0.0009384,1281,0.0122086,1281,0.0003943,1281,0.0001275,1281,0.0021659,1281,0.0071501,1281,0.0058196,1232,36745,1281
533,2,0,0.405543,0.356928,0.100889,0.443931,1,0.565141,0,1.18007,0.00511101,0,0.563213,0,3.38186e-007,0.0087961,0.00521956,0,30,119,0,93,37,0.177585,900,0.0058246,900,0.170643,900,0.0010425,900,0.0505916,1681,0.0004832,1681,0.0019851,121,0.0009311,211,0.0469025,1681,0.0036045,1681,0.0019791,1632,0.0012263,4,0.0001543,8,0.0006568,1677,0.0207687,1681,0.001146,1681,0.0157704,1681,0.0005113,1681,0.0001693,1681,0.002813,1681,0.0094603,1681,0.0076936,1632,49145,1681
633,2,5,1.78388,0.642318,0.155032,0.428375,1,0.565655,0,1.06182,0.00478269,0,0.56062,0,3.89902e-009,0.000101412,0.00747643,0,33,120,0,112,37,0.217891,1100,0.0069423,1100,0.209588,1100,0.0012732,1100,0.0617631,2081,0.0005891,2081,0.002172,149,0.0011135,261,0.0575418,2081,0.0044098,2081,0.0024216,2032,0.0012263,4,0.0003569,20,0.0008149,2077,0.0256569,2081,0.001443,2081,0.0192798,2081,0.000621,2081,0.0002061,2081,0.0034218,2081,0.0115906,2081,0.0096856,2032,61421,2081
733,2,9,3.94872,1.3036,0.269888,1.20599,2,1.10565,0,1.32755,0.00485743,0,0.821897,0,4.49526e-011,1.1692e-006,0.00508136,0,36,119,0,126,37,0.322252,1300,0.0078405,1300,0.31278,1300,0.0015238,1300,0.137042,2481,0.0006827,2481,0.0030851,187,0.0014046,311,0.131484,2481,0.0053258,2481,0.0029734,2432,0.0027352,15,0.0004025,23,0.0009548,2452,0.0856643,2481,0.0080181,2481,0.0229603,2481,0.0007292,2481,0.0003496,2481,0.0089829,2481,0.0156908,2481,0.0592948,2432,240459,2481
833,2,0,2.7641,1.5957,0.402469,1.11719,1,0.989497,0,1.21527,0.00486741,0,0.66832,0,0.0171799,1.348e-008,0.00450149,0,36,119,0,140,37,0.440711,1500,0.008088,1500,0.430719,1500,0.0017814,1500,0.225649,2881,0.0007935,2881,0.0036661,225,0.0016,361,0.219159,2881,0.0063894,2881,0.003608,2832,0.0027923,28,0.0004025,23,0.0011106,2851,0.166227,2881,0.0090626,2881,0.026688,2881,0.0008475,2881,0.0004049,2881,0.0164966,2881,0.0206163,2881,0.12648,2832,473059,2881
933,2,0,1.93487,1.66353,0.528576,1.07142,1,1.03238,0,1.27225,0.00549828,0,0.736612,0,0.160198,1.55414e-010,0.00510359,0,36,119,0,150,37,0.5535,1700,0.0083387,1700,0.543004,1700,0.0020207,1700,0.310277,3281,0.0008912,3281,0.0039524,249,0.0017997,411,0.303161,3281,0.0073969,3281,0.004265,3232,0.0028116,34,0.0004217,24,0.0012761,3251,0.243478,3281,0.0099792,3281,0.0302243,3281,0.0009716,3281,0.0004591,3281,0.0236674,3281,0.0256002,3281,0.190615,3232,705659,3281
1033,2,0,1.35441,1.60171,0.635889,1.18891,1,1.09161,0,1.20377,0.00440009,0,0.697498,0,0.329847,1.7918e-012,0.00478572,0,36,119,0,155,37,0.666369,1900,0.0085803,1900,0.655378,1900,0.0022588,1900,0.394381,3681,0.0009933,3681,0.0042363,275,0.0019907,461,0.386636,3681,0.0083305,3681,0.0049228,3632,0.0028116,34,0.0004217,24,0.0014279,3651,0.320845,3681,0.0102422,3681,0.0338565,3681,0.0010867,3681,0.0004998,3681,0.0309716,3681,0.0304363,3681,0.254856,3632,938259,3681
